male.id, female.id, start.time, end.time, proximity
28, 116, 3.897e-05, 0.109257, 2
45, 140, 0.00021228, 0.267274, 2
35, 101, 0.00021287, 0.441073, 1
49, 126, 0.00024145, 1.38758, 0
20, 109, 0.0002451, 2.0965, 1
23, 108, 0.00031057, 2.53499, 1
39, 144, 0.00047808, 2.12562, 0
6, 111, 0.0007261, 7.42651, 0
37, 139, 0.0008968, 2.4789, 0
48, 112, 0.00101472, 0.0347626, 1
29, 138, 0.00106999, 0.384281, 1
44, 134, 0.00109523, 3.15405, 0
3, 119, 0.00114021, 2.73663, 3
6, 107, 0.00118368, 1.04478, 3
18, 148, 0.00151925, 0.145452, 0
33, 143, 0.00177234, 0.89357, 0
17, 140, 0.0017873, 0.0726228, 1
20, 121, 0.00220311, 3.7268, 0
33, 150, 0.00263318, 1.93137, 0
25, 102, 0.002877, 1.49352, 0
38, 111, 0.00316622, 0.973866, 0
1, 137, 0.00325515, 1.11796, 2
17, 133, 0.00502877, 0.55222, 1
27, 109, 0.00872843, 0.593921, 3
12, 146, 0.0090551, 0.278303, 1
11, 134, 0.0103871, 1.77734, 0
48, 132, 0.0112491, 2.13834, 2
15, 112, 0.0122673, 0.804455, 0
14, 131, 0.0127351, 0.451357, 0
42, 144, 0.0139905, 0.84869, 1
29, 123, 0.0141014, 0.469239, 1
22, 147, 0.0141133, 0.0153009, 2
18, 145, 0.0162868, 6.60488, 0
22, 137, 0.0170712, 0.655956, 2
2, 116, 0.0177588, 0.5069, 0
49, 115, 0.0190508, 1.46313, 0
45, 138, 0.0207043, 0.0861738, 0
23, 147, 0.0208863, 0.401297, 2
37, 145, 0.0222029, 0.754629, 0
1, 114, 0.0246554, 0.961957, 0
2, 150, 0.0314541, 1.23958, 0
14, 120, 0.0347494, 0.0967599, 2
37, 124, 0.0371252, 2.72657, 0
15, 102, 0.0396829, 0.804455, 0
3, 133, 0.0419881, 1.12999, 3
2, 114, 0.0446351, 0.62649, 0
28, 146, 0.0449161, 0.397273, 2
11, 130, 0.0455201, 0.105599, 2
38, 142, 0.0457225, 4.94289, 0
42, 121, 0.0587208, 0.429417, 0
48, 139, 0.0715399, 1.21369, 2
17, 119, 0.0787872, 0.144111, 1
37, 132, 0.125214, 0.657624, 0
45, 130, 0.125524, 0.178689, 2
44, 107, 0.128399, 0.679031, 2
27, 116, 0.128659, 0.275904, 3
3, 123, 0.142553, 0.409762, 1
38, 147, 0.145454, 0.617624, 3
33, 108, 0.148538, 0.332228, 0
39, 119, 0.150499, 0.732719, 0
25, 112, 0.162457, 0.620918, 0
20, 111, 0.166503, 0.292798, 0
35, 136, 0.167988, 1.18326, 2
12, 130, 0.183709, 1.9437, 1
28, 140, 0.19343, 0.271006, 2
18, 120, 0.200655, 2.16473, 0
14, 143, 0.218688, 0.5269, 2
15, 148, 0.250287, 0.36468, 0
23, 115, 0.269317, 0.54396, 0
45, 140, 0.282009, 1.21391, 2
11, 130, 0.286033, 0.532073, 2
49, 142, 0.308343, 0.343727, 0
12, 134, 0.31267, 0.747038, 0
17, 123, 0.335293, 0.796716, 0
28, 138, 0.343256, 0.425433, 0
45, 119, 0.375769, 0.455485, 2
29, 138, 0.403597, 0.450487, 1
28, 146, 0.40911, 1.34761, 2
42, 131, 0.43139, 3.0128, 0
11, 108, 0.443406, 0.475869, 1
35, 131, 0.45342, 1.19805, 0
39, 138, 0.457851, 2.9661, 0
45, 138, 0.48056, 0.528851, 0
29, 146, 0.491555, 0.880949, 3
35, 107, 0.513157, 0.516995, 2
35, 142, 0.518541, 0.629062, 0
2, 116, 0.531634, 0.545258, 0
14, 143, 0.538109, 0.861487, 2
45, 116, 0.552218, 0.634552, 2
15, 136, 0.563997, 0.804455, 1
23, 147, 0.574029, 0.61694, 2
11, 138, 0.583118, 0.878752, 0
27, 116, 0.617883, 0.773426, 3
22, 146, 0.621031, 1.00064, 2
