age,Percent Male,Percent Female
1,1.2,1.1
2,1.2,1.1
3,1.3,1.1
4,1.3,1.2
5,1.4,1.2
6,1.4,1.3
7,1.5,1.3
8,1.5,1.4
9,1.6,1.5
10,1.6,1.5
11,1.6,1.6
12,1.7,1.6
13,1.8,1.7
14,2.1,2
15,2,1.9
16,1.9,1.9
17,2.1,2
18,1.7,1.7
19,1.6,1.5
20,1.5,1.6
21,1.6,1.6
22,1.9,1.9
23,1.4,1.4
24,1.5,1.5
25,1.5,1.5
26,1.4,1.4
27,1.5,1.5
28,1.5,1.6
29,1.6,1.7
30,1.8,1.8
31,1.9,1.9
32,1.9,1.9
33,2,2
34,2,2
35,2.1,2.1
36,1.9,1.9
37,1.8,1.8
38,1.9,1.9
39,1.9,1.9
40,1.9,1.9
41,2.1,2.1
42,1.2,1.2
43,0.9,0.9
44,1.1,1.1
45,1.1,1.1
46,1.5,1.4
47,1.4,1.4
48,1.3,1.3
49,1.5,1.5
50,1.4,1.4
51,1.3,1.3
52,1.2,1.3
53,1.1,1.1
54,1.1,1.1
55,1,1
56,0.9,0.9
57,0.9,0.9
58,0.8,0.8
59,0.8,0.8
60,0.7,0.7
61,0.7,0.7
62,0.7,0.7
63,0.7,0.7
64,0.6,0.6
65,0.6,0.6
66,0.6,0.6
67,0.6,0.6
68,0.6,0.6
69,0.5,0.6
70,0.5,0.6
71,0.5,0.5
72,0.4,0.5
73,0.4,0.4
74,0.4,0.4
75,0.3,0.4
76,0.3,0.4
77,0.3,0.3
78,0.2,0.3
79,0.2,0.3
80,0.2,0.3
81,0.1,0.2
82,0.1,0.2
83,0.1,0.2
84,0.1,0.1
85,0.1,0.1
90,0.2,0.3
95,0,0.1
100,0,0
101,0,0
