"","age","simulated male","simulated female","empirical male","empirical female"
"1",1,0.0121951219512195,0.0145228215767635,0.012,0.011
"2",2,0.024390243902439,0.0228215767634855,0.024,0.022
"3",3,0.0365853658536585,0.0352697095435685,0.037,0.033
"4",4,0.0447154471544715,0.049792531120332,0.05,0.045
"5",5,0.0589430894308943,0.0643153526970954,0.064,0.057
"6",6,0.0813008130081301,0.0850622406639004,0.078,0.07
"7",7,0.0955284552845529,0.0850622406639004,0.093,0.083
"8",8,0.113821138211382,0.0995850622406639,0.108,0.097
"9",9,0.130081300813008,0.109958506224066,0.124,0.112
"10",10,0.148373983739837,0.145228215767635,0.14,0.127
"11",11,0.184959349593496,0.159751037344398,0.156,0.143
"12",12,0.203252032520325,0.178423236514523,0.173,0.159
"13",13,0.221544715447154,0.190871369294606,0.191,0.176
"14",14,0.233739837398374,0.215767634854772,0.212,0.196
"15",15,0.247967479674797,0.224066390041494,0.232,0.215
"16",16,0.26219512195122,0.238589211618257,0.251,0.234
"17",17,0.284552845528455,0.253112033195021,0.272,0.254
"18",18,0.310975609756098,0.265560165975104,0.289,0.271
"19",19,0.321138211382114,0.282157676348548,0.305,0.286
"20",20,0.339430894308943,0.307053941908714,0.32,0.302
"21",21,0.361788617886179,0.327800829875519,0.336,0.318
"22",22,0.373983739837398,0.346473029045643,0.355,0.337
"23",23,0.388211382113821,0.354771784232365,0.369,0.351
"24",24,0.404471544715447,0.37344398340249,0.384,0.366
"25",25,0.41869918699187,0.400414937759336,0.399,0.381
"26",26,0.432926829268293,0.404564315352697,0.413,0.395
"27",27,0.457317073170732,0.427385892116183,0.428,0.41
"28",28,0.475609756097561,0.443983402489627,0.443,0.426
"29",29,0.489837398373984,0.462655601659751,0.459,0.443
"30",30,0.508130081300813,0.483402489626556,0.477,0.461
"31",31,0.530487804878049,0.516597510373444,0.496,0.48
"32",32,0.552845528455285,0.54149377593361,0.515,0.499
"33",33,0.567073170731707,0.560165975103734,0.535,0.519
"34",34,0.579268292682927,0.597510373443983,0.555,0.539
"35",35,0.607723577235772,0.612033195020747,0.576,0.56
"36",36,0.628048780487805,0.62448132780083,0.595,0.579
"37",37,0.650406504065041,0.649377593360996,0.613,0.597
"38",38,0.666666666666667,0.66597510373444,0.632,0.616
"39",39,0.678861788617886,0.680497925311203,0.651,0.635
"40",40,0.693089430894309,0.684647302904564,0.67,0.654
"41",41,0.707317073170732,0.692946058091286,0.691,0.675
"42",42,0.721544715447154,0.703319502074689,0.703,0.687
"43",43,0.739837398373984,0.715767634854772,0.712,0.696
"44",44,0.752032520325203,0.730290456431535,0.723,0.707
"45",45,0.770325203252032,0.74896265560166,0.734,0.718
"46",46,0.792682926829268,0.757261410788382,0.749,0.732
"47",47,0.815040650406504,0.775933609958506,0.763,0.746
"48",48,0.817073170731707,0.800829875518672,0.776,0.759
"49",49,0.827235772357724,0.815352697095436,0.791,0.774
"50",50,0.835365853658537,0.825726141078838,0.805,0.788
"51",51,0.841463414634146,0.840248962655602,0.818,0.801
"52",52,0.847560975609756,0.846473029045643,0.83,0.814
"53",53,0.853658536585366,0.854771784232365,0.841,0.825
"54",54,0.861788617886179,0.865145228215768,0.852,0.836
"55",55,0.880081300813008,0.871369294605809,0.862,0.846
"56",56,0.890243902439024,0.87344398340249,0.871,0.855
"57",57,0.894308943089431,0.881742738589212,0.88,0.864
"58",58,0.900406504065041,0.885892116182573,0.888,0.872
"59",59,0.90650406504065,0.892116182572614,0.896,0.88
"60",60,0.91260162601626,0.900414937759336,0.903,0.887
"61",61,0.920731707317073,0.900414937759336,0.91,0.894
"62",62,0.928861788617886,0.906639004149378,0.917,0.901
"63",63,0.941056910569106,0.912863070539419,0.924,0.908
"64",64,0.945121951219512,0.919087136929461,0.93,0.914
"65",65,0.945121951219512,0.933609958506224,0.936,0.92
"66",66,0.947154471544715,0.943983402489627,0.942,0.926
"67",67,0.959349593495935,0.943983402489627,0.948,0.932
"68",68,0.971544715447154,0.948132780082988,0.954,0.938
"69",69,0.979674796747967,0.952282157676348,0.959,0.944
"70",70,0.979674796747967,0.956431535269709,0.964,0.95
"71",71,0.979674796747967,0.962655601659751,0.969,0.955
"72",72,0.983739837398374,0.964730290456432,0.973,0.96
"73",73,0.985772357723577,0.970954356846473,0.977,0.964
"74",74,0.98780487804878,0.970954356846473,0.981,0.968
"75",75,0.98780487804878,0.973029045643154,0.984,0.972
"76",76,0.98780487804878,0.975103734439834,0.987,0.976
"77",77,0.989837398373984,0.979253112033195,0.99,0.979
"78",78,0.989837398373984,0.981327800829875,0.992,0.982
"79",79,0.989837398373984,0.987551867219917,0.994,0.985
"80",80,0.989837398373984,0.989626556016597,0.996,0.988
"81",81,0.989837398373984,0.989626556016597,0.997,0.99
"82",82,0.991869918699187,0.991701244813278,0.998,0.992
"83",83,0.991869918699187,0.991701244813278,0.999,0.994
"84",84,0.991869918699187,0.991701244813278,1,0.995
"85",85,0.991869918699187,0.991701244813278,1.001,0.996
"86",89,0.991869918699187,0.991701244813278,1.003,0.999
"87",95,0.991869918699187,0.991701244813278,1.003,1
"88",99,0.991869918699187,0.991701244813278,1.003,1
"89",100,0.991869918699187,0.991701244813278,1.003,1
