Age,Percent Male,Percent Female
1.00,2.2,2
2.00,2.1,2
3.00,2.1,2
4.00,2.1,2
5.00,2.1,2
6.00,2.1,2
7.00,2.1,2
8.00,2.1,2
9.00,2.2,2.1
10.00,2.2,2.1
11.00,2.2,2.2
12.00,2.3,2.2
13.00,2.3,2.2
14.00,2.3,2.2
15.00,2.3,2.2
16.00,2.3,2.2
17.00,2.4,2.2
18.00,2.4,2.2
19.00,2.3,2.2
20.00,2.2,2.1
21.00,2.2,2
22.00,2.1,1.9
23.00,2,1.9
24.00,1.9,1.8
25.00,1.9,1.7
26.00,1.8,1.7
27.00,1.7,1.6
28.00,1.7,1.6
29.00,1.6,1.5
30.00,1.6,1.5
31.00,1.5,1.4
32.00,1.5,1.4
33.00,1.4,1.4
34.00,1.4,1.3
35.00,1.3,1.3
36.00,1.3,1.3
37.00,1.3,1.3
38.00,1.2,1.3
39.00,1.2,1.2
40.00,1.2,1.2
41.00,1.2,1.2
42.00,1.1,1.2
43.00,1.1,1.2
44.00,1.1,1.2
45.00,1.1,1.2
46.00,1,1.1
47.00,1,1.1
48.00,1,1.1
49.00,0.9,1
50.00,0.9,1
51.00,0.8,0.9
52.00,0.8,0.9
53.00,0.8,0.9
54.00,0.7,0.8
55.00,0.7,0.8
56.00,0.7,0.8
57.00,0.6,0.7
58.00,0.6,0.7
59.00,0.6,0.7
60.00,0.5,0.6
61.00,0.5,0.6
62.00,0.5,0.6
63.00,0.5,0.6
64.00,0.4,0.5
65.00,0.4,0.5
66.00,0.4,0.5
67.00,0.4,0.5
68.00,0.3,0.4
69.00,0.3,0.4
70.00,0.3,0.4
71.00,0.3,0.3
72.00,0.3,0.3
73.00,0.2,0.3
74.00,0.2,0.3
75.00,0.2,0.3
76.00,0.2,0.2
77.00,0.2,0.2
78.00,0.1,0.2
79.00,0.1,0.2
80.00,0.1,0.2
81.00,0.1,0.1
82.00,0.1,0.1
83.00,0.1,0.1
84.00,0.1,0.1
85.00,0,0.1
89.00,0.1,0.2
94.00,0,0.1
99.00,0,0
100.00,0,0
