Age,Percent Male,Percent Female,Sex Ratio
0,1.9,1.8,101.3
1,1.9,1.8,101.1
2,1.9,1.8,101
3,1.9,1.9,100.9
4,1.9,1.9,100.8
5,1.9,1.9,100.7
6,1.9,1.9,100.6
7,1.9,1.9,100.6
8,1.9,1.9,100.5
9,1.9,1.9,100.5
10,1.9,1.9,100.4
11,1.9,1.9,100.4
12,1.9,1.9,100.3
13,1.9,1.9,100.2
14,1.9,1.9,100.2
15,1.9,1.9,100.1
16,2,1.9,99.8
17,2,2,99.7
18,2,2,99.7
19,2,2,99.9
20,2.1,2.1,101.6
21,2.2,2.1,102.5
22,2.2,2.1,103
23,2.2,2.1,103.9
24,2.3,2.1,105.5
25,2.3,2.1,106.2
26,2.2,2.1,107
27,2.2,2,107.9
28,2.1,1.9,108.8
29,2,1.8,110.7
30,1.9,1.7,112.6
31,1.8,1.5,115.4
32,1.7,1.4,118.6
33,1.6,1.3,121.5
34,1.5,1.2,123.8
35,1.4,1.1,124.5
36,1.4,1.1,124.8
37,1.3,1,124.2
38,1.2,1,122.5
39,1.2,1,119.6
40,1.1,1,115.7
41,1.1,1,112.3
42,1,0.9,108.8
43,1,0.9,104.8
44,1,0.9,100.8
45,0.9,0.9,97.3
46,0.9,1,94.4
47,0.9,1,92.2
48,0.9,1,89.8
49,0.9,1,87.7
50,0.8,1,85.8
51,0.8,1,84
52,0.8,1,82.3
53,0.8,0.9,80.8
54,0.8,0.9,79.6
55,0.7,0.9,78.4
56,0.7,0.9,77.6
57,0.7,0.9,76.9
58,0.6,0.8,76.3
59,0.6,0.8,75.9
60,0.6,0.8,75.3
61,0.6,0.7,74.6
62,0.5,0.7,73.9
63,0.5,0.7,73.1
64,0.5,0.6,72.4
65,0.4,0.6,71.7
66,0.4,0.6,71.5
67,0.4,0.5,71.6
68,0.4,0.5,71.7
69,0.3,0.5,71.9
70,0.3,0.4,71.5
71,0.3,0.4,70.6
72,0.3,0.4,69.5
73,0.3,0.4,68.1
74,0.2,0.3,66.8
75,0.2,0.3,65.6
76,0.2,0.3,64.7
77,0.2,0.3,64.2
78,0.2,0.2,63.8
79,0.1,0.2,63.3
80,0.1,0.2,62
81,0.1,0.2,60
82,0.1,0.2,57.8
83,0.1,0.1,55.2
84,0.1,0.1,52.8
89,0.2,0.3,48.1
94,0,0.1,39.7
99,0,0,29.4
100,0,0,20.5
