"","age","simulated male","simulated female","empirical male","empirical female"
"1",1,0.019438444924406,0.0171306209850107,0.022,0.02
"2",2,0.041036717062635,0.0428265524625268,0.043,0.04
"3",3,0.0691144708423326,0.0599571734475375,0.064,0.06
"4",4,0.103671706263499,0.0877944325481799,0.085,0.08
"5",5,0.123110151187905,0.100642398286938,0.106,0.1
"6",6,0.151187904967603,0.115631691648822,0.127,0.12
"7",7,0.172786177105832,0.15203426124197,0.148,0.14
"8",8,0.207343412526998,0.177730192719486,0.169,0.16
"9",9,0.224622030237581,0.214132762312634,0.191,0.181
"10",10,0.252699784017279,0.237687366167024,0.213,0.202
"11",11,0.282937365010799,0.259100642398287,0.235,0.224
"12",12,0.302375809935205,0.289079229122056,0.258,0.246
"13",13,0.319654427645788,0.310492505353319,0.281,0.268
"14",14,0.349892008639309,0.325481798715203,0.304,0.29
"15",15,0.371490280777538,0.34475374732334,0.327,0.312
"16",16,0.39524838012959,0.361884368308351,0.35,0.334
"17",17,0.423326133909287,0.374732334047109,0.374,0.356
"18",18,0.438444924406048,0.383297644539615,0.398,0.378
"19",19,0.451403887688985,0.400428265524625,0.421,0.4
"20",20,0.475161987041037,0.41541755888651,0.443,0.421
"21",21,0.494600431965443,0.434689507494647,0.465,0.441
"22",22,0.505399568034557,0.45610278372591,0.486,0.46
"23",23,0.518358531317495,0.466809421841542,0.506,0.479
"24",24,0.535637149028078,0.488222698072805,0.525,0.497
"25",25,0.548596112311015,0.501070663811563,0.544,0.514
"26",26,0.572354211663067,0.507494646680942,0.562,0.531
"27",27,0.583153347732181,0.526766595289079,0.579,0.547
"28",28,0.598272138228942,0.537473233404711,0.596,0.563
"29",29,0.622030237580994,0.548179871520343,0.612,0.578
"30",30,0.632829373650108,0.578158458244111,0.628,0.593
"31",31,0.652267818574514,0.586723768736617,0.643,0.607
"32",32,0.663066954643629,0.597430406852248,0.658,0.621
"33",33,0.688984881209503,0.60813704496788,0.672,0.635
"34",34,0.699784017278618,0.633832976445396,0.686,0.648
"35",35,0.710583153347732,0.646680942184154,0.699,0.661
"36",36,0.719222462203024,0.661670235546039,0.712,0.674
"37",37,0.736501079913607,0.683083511777302,0.725,0.687
"38",38,0.749460043196544,0.698072805139186,0.737,0.7
"39",39,0.762419006479482,0.704496788008565,0.749,0.712
"40",40,0.777537796976242,0.728051391862955,0.761,0.724
"41",41,0.794816414686825,0.738758029978587,0.773,0.736
"42",42,0.803455723542117,0.749464668094218,0.784,0.748
"43",43,0.816414686825054,0.764453961456103,0.795,0.76
"44",44,0.833693304535637,0.777301927194861,0.806,0.772
"45",45,0.842332613390929,0.792291220556745,0.817,0.784
"46",46,0.846652267818574,0.802997858672377,0.827,0.795
"47",47,0.855291576673866,0.811563169164882,0.837,0.806
"48",48,0.859611231101512,0.828693790149893,0.847,0.817
"49",49,0.868250539956803,0.832976445396146,0.856,0.827
"50",50,0.872570194384449,0.843683083511777,0.865,0.837
"51",51,0.881209503239741,0.845824411134904,0.873,0.846
"52",52,0.896328293736501,0.852248394004283,0.881,0.855
"53",53,0.911447084233261,0.869379014989293,0.889,0.864
"54",54,0.922246220302376,0.875802997858672,0.896,0.872
"55",55,0.924406047516199,0.882226980728051,0.903,0.88
"56",56,0.928725701943845,0.88865096359743,0.91,0.888
"57",57,0.930885529157667,0.897216274089936,0.916,0.895
"58",58,0.937365010799136,0.905781584582441,0.922,0.902
"59",59,0.941684665226782,0.91220556745182,0.928,0.909
"60",60,0.948164146868251,0.916488222698073,0.933,0.915
"61",61,0.954643628509719,0.918629550321199,0.938,0.921
"62",62,0.958963282937365,0.920770877944325,0.943,0.927
"63",63,0.963282937365011,0.922912205567452,0.948,0.933
"64",64,0.965442764578834,0.929336188436831,0.952,0.938
"65",65,0.965442764578834,0.933618843683083,0.956,0.943
"66",66,0.96976241900648,0.937901498929336,0.96,0.948
"67",67,0.976241900647948,0.942184154175589,0.964,0.953
"68",68,0.978401727861771,0.946466809421842,0.967,0.957
"69",69,0.980561555075594,0.950749464668094,0.97,0.961
"70",70,0.98488120950324,0.967880085653105,0.973,0.965
"71",71,0.98488120950324,0.967880085653105,0.976,0.968
"72",72,0.98488120950324,0.967880085653105,0.979,0.971
"73",73,0.989200863930886,0.972162740899358,0.981,0.974
"74",74,0.991360691144708,0.974304068522484,0.983,0.977
"75",75,0.991360691144708,0.980728051391863,0.985,0.98
"76",76,0.991360691144708,0.980728051391863,0.987,0.982
"77",77,0.993520518358531,0.980728051391863,0.989,0.984
"78",78,0.993520518358531,0.982869379014989,0.99,0.986
"79",79,0.995680345572354,0.985010706638116,0.991,0.988
"80",80,0.995680345572354,0.985010706638116,0.992,0.99
"81",81,0.995680345572354,0.985010706638116,0.993,0.991
"82",82,0.995680345572354,0.987152034261242,0.994,0.992
"83",83,0.995680345572354,0.987152034261242,0.995,0.993
"84",84,0.995680345572354,0.987152034261242,0.996,0.994
"85",85,0.995680345572354,0.987152034261242,0.996,0.995
"86",89,0.995680345572354,0.987152034261242,0.997,0.997
"87",95,0.995680345572354,0.987152034261242,0.997,0.998
"88",99,0.995680345572354,0.987152034261242,0.997,0.998
"89",100,0.995680345572354,0.987152034261242,0.997,0.998
