Age,Percent Male,Percent Female
1,1.4,1.3
2,1.4,1.3
3,1.4,1.3
4,1.4,1.3
5,1.4,1.3
6,1.4,1.3
7,1.4,1.3
8,1.4,1.3
9,1.4,1.3
10,1.5,1.3
11,1.5,1.4
12,1.5,1.4
13,1.6,1.4
14,1.6,1.5
15,1.5,1.4
16,1.5,1.4
17,1.5,1.4
18,1.5,1.4
19,1.5,1.4
20,1.5,1.4
21,1.5,1.4
22,1.5,1.4
23,1.5,1.4
24,1.5,1.4
25,1.4,1.3
26,1.4,1.3
27,1.3,1.3
28,1.3,1.2
29,1.3,1.3
30,1.3,1.2
31,1.3,1.3
32,1.4,1.3
33,1.5,1.4
34,1.5,1.5
35,1.4,1.4
36,1.4,1.4
37,1.4,1.4
38,1.5,1.4
39,1.6,1.5
40,1.6,1.5
41,1.6,1.5
42,1.6,1.6
43,1.6,1.6
44,1.6,1.6
45,1.6,1.5
46,1.6,1.5
47,1.5,1.5
48,1.5,1.5
49,1.5,1.5
50,1.4,1.4
51,1.4,1.4
52,1.3,1.3
53,1.3,1.3
54,1.3,1.3
55,1.2,1.3
56,1.2,1.3
57,1.3,1.3
58,1,1
59,1,1
60,0.9,1
61,1,1
62,0.9,0.9
63,0.8,0.8
64,0.8,0.8
65,0.7,0.8
66,0.7,0.8
67,0.7,0.7
68,0.6,0.7
69,0.6,0.7
70,0.6,0.7
71,0.6,0.7
72,0.6,0.7
73,0.5,0.6
74,0.5,0.7
75,0.5,0.6
76,0.5,0.6
77,0.5,0.6
78,0.4,0.6
79,0.4,0.6
80,0.4,0.6
81,0.4,0.5
82,0.3,0.5
83,0.3,0.5
84,0.3,0.4
85,0.2,0.4
89,0.7,1.3
95,0.2,0.6
99,0,0.2
100,0,0
