"","age","simulated male","simulated female","empirical male","empirical female"
"1",1,0.0186721991701245,0.0126050420168067,0.014,0.013
"2",2,0.033195020746888,0.0189075630252101,0.028,0.026
"3",3,0.0622406639004149,0.0315126050420168,0.042,0.039
"4",4,0.0663900414937759,0.0420168067226891,0.056,0.052
"5",5,0.0788381742738589,0.0588235294117647,0.07,0.065
"6",6,0.0954356846473029,0.0798319327731093,0.084,0.078
"7",7,0.109958506224066,0.0882352941176471,0.098,0.091
"8",8,0.134854771784232,0.0987394957983193,0.112,0.104
"9",9,0.149377593360996,0.109243697478992,0.126,0.117
"10",10,0.163900414937759,0.132352941176471,0.141,0.13
"11",11,0.176348547717842,0.153361344537815,0.156,0.144
"12",12,0.188796680497925,0.159663865546219,0.171,0.158
"13",13,0.195020746887967,0.180672268907563,0.187,0.172
"14",14,0.211618257261411,0.182773109243697,0.203,0.187
"15",15,0.217842323651452,0.195378151260504,0.218,0.201
"16",16,0.236514522821577,0.218487394957983,0.233,0.215
"17",17,0.25103734439834,0.228991596638655,0.248,0.229
"18",18,0.259336099585062,0.239495798319328,0.263,0.243
"19",19,0.280082987551867,0.258403361344538,0.278,0.257
"20",20,0.288381742738589,0.26890756302521,0.293,0.271
"21",21,0.311203319502075,0.281512605042017,0.308,0.285
"22",22,0.33195020746888,0.296218487394958,0.323,0.299
"23",23,0.336099585062241,0.310924369747899,0.338,0.313
"24",24,0.354771784232365,0.323529411764706,0.353,0.327
"25",25,0.363070539419087,0.334033613445378,0.367,0.34
"26",26,0.381742738589212,0.340336134453782,0.381,0.353
"27",27,0.406639004149378,0.359243697478992,0.394,0.366
"28",28,0.423236514522822,0.369747899159664,0.407,0.378
"29",29,0.446058091286307,0.384453781512605,0.42,0.391
"30",30,0.462655601659751,0.403361344537815,0.433,0.403
"31",31,0.475103734439834,0.428571428571429,0.446,0.416
"32",32,0.487551867219917,0.439075630252101,0.46,0.429
"33",33,0.50207468879668,0.455882352941176,0.475,0.443
"34",34,0.518672199170124,0.472689075630252,0.49,0.458
"35",35,0.526970954356846,0.483193277310924,0.504,0.472
"36",36,0.54356846473029,0.489495798319328,0.518,0.486
"37",37,0.566390041493776,0.502100840336134,0.532,0.5
"38",38,0.58298755186722,0.512605042016807,0.547,0.514
"39",39,0.595435684647303,0.535714285714286,0.563,0.529
"40",40,0.62448132780083,0.548319327731092,0.579,0.544
"41",41,0.643153526970954,0.571428571428571,0.595,0.559
"42",42,0.66597510373444,0.592436974789916,0.611,0.575
"43",43,0.680497925311203,0.602941176470588,0.627,0.591
"44",44,0.695020746887967,0.630252100840336,0.643,0.607
"45",45,0.717842323651452,0.647058823529412,0.659,0.622
"46",46,0.736514522821577,0.665966386554622,0.675,0.637
"47",47,0.742738589211618,0.670168067226891,0.69,0.652
"48",48,0.757261410788382,0.686974789915966,0.705,0.667
"49",49,0.780082987551867,0.699579831932773,0.72,0.682
"50",50,0.788381742738589,0.718487394957983,0.734,0.696
"51",51,0.798755186721992,0.726890756302521,0.748,0.71
"52",52,0.809128630705394,0.743697478991597,0.761,0.723
"53",53,0.823651452282158,0.754201680672269,0.774,0.736
"54",54,0.83402489626556,0.762605042016807,0.787,0.749
"55",55,0.840248962655602,0.775210084033613,0.799,0.762
"56",56,0.842323651452282,0.785714285714286,0.811,0.775
"57",57,0.852697095435685,0.798319327731092,0.824,0.788
"58",58,0.869294605809129,0.804621848739496,0.834,0.798
"59",59,0.869294605809129,0.813025210084034,0.844,0.808
"60",60,0.879668049792531,0.819327731092437,0.853,0.818
"61",61,0.887966804979253,0.827731092436975,0.863,0.828
"62",62,0.894190871369295,0.834033613445378,0.872,0.837
"63",63,0.900414937759336,0.842436974789916,0.88,0.845
"64",64,0.91701244813278,0.850840336134454,0.888,0.853
"65",65,0.921161825726141,0.855042016806723,0.895,0.861
"66",66,0.927385892116183,0.867647058823529,0.902,0.869
"67",67,0.933609958506224,0.873949579831933,0.909,0.876
"68",68,0.937759336099585,0.888655462184874,0.915,0.883
"69",69,0.941908713692946,0.892857142857143,0.921,0.89
"70",70,0.946058091286307,0.901260504201681,0.927,0.897
"71",71,0.950207468879668,0.90546218487395,0.933,0.904
"72",72,0.950207468879668,0.920168067226891,0.939,0.911
"73",73,0.960580912863071,0.922268907563025,0.944,0.917
"74",74,0.964730290456432,0.926470588235294,0.949,0.924
"75",75,0.966804979253112,0.930672268907563,0.954,0.93
"76",76,0.970954356846473,0.94327731092437,0.959,0.936
"77",77,0.970954356846473,0.947478991596639,0.964,0.942
"78",78,0.973029045643154,0.957983193277311,0.968,0.948
"79",79,0.975103734439834,0.964285714285714,0.972,0.954
"80",80,0.979253112033195,0.964285714285714,0.976,0.96
"81",81,0.981327800829875,0.968487394957983,0.98,0.965
"82",82,0.981327800829875,0.972689075630252,0.983,0.97
"83",83,0.981327800829875,0.974789915966387,0.986,0.975
"84",84,0.981327800829875,0.974789915966387,0.989,0.979
"85",85,0.983402489626556,0.98109243697479,0.991,0.983
"86",89,0.983402489626556,0.983193277310924,0.998,0.996
"87",95,0.983402489626556,0.983193277310924,1,1.002
"88",99,0.983402489626556,0.983193277310924,1,1.004
"89",100,0.983402489626556,0.983193277310924,1,1.004
