"","concurrent","I","S","infect"
"1",NA,0,1016,0
"2",NA,0,767,0
"3",NA,21,745,21
"4",NA,38,728,38
"5",NA,44,720,44
"6",0.132,44,723,44
"7",0.123,43,722,43
"8",0.146,46,721,26
"9",0.137,47,720,11
"10",0.136,48,720,7
"11",0.159,47,724,7
"12",0.154,50,720,10
"13",0.151,53,719,11
"14",0.165,55,714,12
"15",0.174,60,712,16
"16",0.179,60,717,16
"17",0.196,63,714,16
"18",0.187,66,714,15
"19",0.202,68,716,14
"20",0.212,67,717,9
"21",0.156,68,719,10
"22",0.179,69,724,8
"23",0.187,71,725,8
"24",0.152,73,727,8
"25",0.172,75,726,11
"26",0.188,74,733,10
"27",0.191,78,737,13
"28",0.184,80,739,12
"29",0.157,82,739,16
"30",0.176,83,739,15
"31",0.199,87,744,17
"32",0.207,91,746,17
"33",0.215,96,748,21
"34",0.224,100,748,21
"35",0.228,104,746,24
"36",0.222,107,743,24
"37",0.222,109,743,23
"38",0.21,112,740,20
"39",0.2,117,735,20
"40",0.202,120,730,20
"41",0.224,130,719,26
"42",0.208,133,714,28
"43",0.214,139,707,31
"44",0.216,139,705,27
"45",0.221,147,695,30
"46",0.213,149,687,25
"47",0.212,153,676,29
"48",0.198,156,665,29
"49",0.204,161,656,36
"50",0.217,169,646,37
"51",0.211,175,636,39
