"","Males.degreee","Females.degree"
"1",10,5
"2",11,15
"3",14,14
"4",14,20
"5",15,14
"6",15,17
"7",15,4
"8",18,19
"9",24,20
"10",17,24
"11",16,23
"12",22,19
"13",19,15
"14",22,7
"15",17,16
"16",17,10
"17",9,15
"18",6,5
"19",10,14
"20",5,7
"21",11,5
"22",7,4
"23",4,4
"24",2,1
"25",3,3
"26",5,3
"27",2,1
"28",1,1
"29",2,3
"30",0,1
"31",0,1
"32",0,1
"33",0,1
"34",0,1
"35",0,1
"36",0,1
"37",0,1
"38",0,1
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,0
"44",0,0
"45",0,0
"46",0,0
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",0,0
"53",0,0
"54",0,0
"55",0,0
"56",0,0
"57",0,0
"58",0,0
"59",0,0
"60",0,0
"61",0,0
"62",0,0
"63",0,0
"64",0,0
"65",0,0
"66",0,0
"67",0,0
"68",0,0
"69",0,0
"70",0,0
"71",0,0
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",0,0
"90",0,0
"91",0,0
"92",0,0
"93",0,0
"94",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,0
"100",0,0
