"","concurrent","I","S","infect"
"1",NA,0,1016,0
"2",NA,0,755,0
"3",NA,8,745,8
"4",NA,16,734,16
"5",NA,16,730,16
"6",0.142,17,728,17
"7",0.182,17,730,17
"8",0.182,18,729,10
"9",0.191,18,729,3
"10",0.187,19,732,3
"11",0.194,19,732,2
"12",0.191,19,732,2
"13",0.19,20,729,3
"14",0.171,21,729,4
"15",0.182,20,735,3
"16",0.184,21,734,4
"17",0.158,22,735,5
"18",0.176,21,737,3
"19",0.193,22,744,3
"20",0.155,24,741,5
"21",0.19,25,739,5
"22",0.192,27,743,6
"23",0.205,29,744,8
"24",0.201,31,746,9
"25",0.211,32,748,9
"26",0.229,34,748,10
"27",0.217,36,747,10
"28",0.236,36,746,8
"29",0.233,38,747,8
"30",0.23,38,751,6
"31",0.236,40,751,6
"32",0.241,39,751,4
"33",0.231,39,753,6
"34",0.225,39,757,4
"35",0.203,38,756,5
"36",0.201,43,755,8
"37",0.231,45,757,10
"38",0.231,51,746,16
"39",0.194,50,747,17
"40",0.207,53,741,19
"41",0.186,53,742,14
"42",0.199,56,740,15
"43",0.194,58,738,10
"44",0.188,60,737,12
"45",0.202,61,739,9
"46",0.231,63,737,12
"47",0.235,63,737,9
"48",0.218,64,735,8
"49",0.252,65,735,7
"50",0.255,68,729,9
"51",0.249,73,726,11
