"","concurrent","I","S","infect"
"1",NA,0,1016,0
"2",NA,0,749,0
"3",NA,31,715,31
"4",NA,41,701,41
"5",NA,44,698,44
"6",0.175,44,698,44
"7",0.162,46,693,46
"8",0.19,49,693,19
"9",0.177,52,696,12
"10",0.21,55,695,12
"11",0.182,57,692,13
"12",0.209,59,689,13
"13",0.174,60,687,11
"14",0.187,61,684,9
"15",0.197,64,681,9
"16",0.202,63,681,7
"17",0.21,67,677,10
"18",0.22,68,676,12
"19",0.21,72,674,15
"20",0.204,71,669,13
"21",0.18,72,668,14
"22",0.164,78,661,15
"23",0.172,82,659,18
"24",0.205,85,658,18
"25",0.236,86,659,20
"26",0.221,91,660,24
"27",0.212,94,660,21
"28",0.196,99,657,20
"29",0.214,105,653,22
"30",0.208,113,646,28
"31",0.147,115,649,26
"32",0.161,115,650,25
"33",0.169,121,643,26
"34",0.165,124,642,24
"35",0.166,132,635,24
"36",0.176,133,633,24
"37",0.163,140,625,29
"38",0.214,141,622,26
"39",0.156,139,623,23
"40",0.176,141,619,20
"41",0.155,143,617,21
"42",0.192,150,612,21
"43",0.205,151,613,23
"44",0.181,149,610,25
"45",0.165,148,614,21
"46",0.161,153,611,22
"47",0.177,154,611,18
"48",0.203,158,608,19
"49",0.202,162,610,19
"50",0.18,164,603,21
"51",0.177,163,603,18
