"","concurrent","I","S","infect"
"1",0,0,1016,0
"2",0,0,755,0
"3",0,8,745,8
"4",0,16,734,16
"5",0,16,730,16
"6",0,17,728,17
"7",0,17,730,17
"8",0,18,729,10
"9",0,18,729,3
"10",0,19,732,3
"11",0,19,732,2
"12",0,19,732,2
"13",0,20,729,3
"14",0,21,729,4
"15",0,20,735,3
"16",0,21,734,4
"17",0,22,735,5
"18",0,21,737,3
"19",0,22,744,3
"20",0,24,741,5
"21",0,25,739,5
"22",0,27,743,6
"23",0,29,744,8
"24",0,31,746,9
"25",0,32,748,9
"26",0,34,748,10
"27",0,36,747,10
"28",0,36,746,8
"29",0,38,747,8
"30",0,38,751,6
"31",0,40,751,6
"32",0,39,751,4
"33",0,39,753,6
"34",0,39,757,4
"35",0,38,756,5
"36",0,43,755,8
"37",0,45,757,10
"38",0,51,746,16
"39",0,50,747,17
"40",0,53,741,19
"41",0,53,742,14
"42",0,56,740,15
"43",0,58,738,10
"44",0,60,737,12
"45",0,61,739,9
"46",0,63,737,12
"47",0,63,737,9
"48",0,64,735,8
"49",0,65,735,7
"50",0,66,731,7
"51",0,71,728,9
"52",0,70,732,9
"53",0,70,734,9
"54",0,69,732,9
"55",0,68,730,9
"56",0,70,725,6
