"","concurrent","I","S","infect"
"1",NA,0,1016,0
"2",NA,0,749,0
"3",NA,41,705,41
"4",NA,82,660,82
"5",NA,126,616,126
"6",0.582,162,578,162
"7",0.6,196,545,196
"8",0.592,217,528,177
"9",0.606,245,503,166
"10",0.596,278,474,155
"11",0.62,304,448,144
"12",0.596,328,422,137
"13",0.603,342,413,131
"14",0.6,360,400,123
"15",0.592,373,388,106
"16",0.626,382,388,90
"17",0.595,392,384,75
"18",0.604,407,370,76
"19",0.6,415,371,64
"20",0.594,425,369,67
"21",0.598,434,363,67
"22",0.613,435,367,60
"23",0.6,439,371,53
"24",0.606,443,373,50
"25",0.569,442,376,41
"26",0.597,448,379,39
"27",0.575,453,377,41
"28",0.593,455,372,39
"29",0.588,452,367,37
"30",0.595,448,363,34
"31",0.565,445,360,28
"32",0.538,440,356,23
"33",0.554,434,353,17
"34",0.579,430,350,15
"35",0.571,426,348,13
"36",0.531,422,347,11
"37",0.573,420,345,9
"38",0.556,421,338,13
"39",0.563,413,335,13
"40",0.484,407,332,14
"41",0.506,403,329,15
"42",0.501,397,327,15
"43",0.516,393,321,15
"44",0.563,387,318,15
"45",0.531,382,316,14
"46",0.505,382,308,20
"47",0.525,372,305,22
"48",0.475,366,302,19
"49",0.529,366,295,23
"50",0.497,361,292,23
"51",0.518,355,288,19
