male.id, female.id, start.time, end.time, proximity
99, 943, 0.0252, 4.82321, 0
288, 647, 0.0253, 4.88693, 0
237, 687, 0.0254, 0.0924042, 0
404, 663, 0.0255, 0.10874, 0
123, 1035, 0.0256, 0.739769, 3
70, 838, 0.0257, 0.631766, 0
277, 817, 0.0258, 0.036205, 2
415, 962, 0.0259, 0.248582, 1
183, 684, 0.026, 0.539725, 0
250, 872, 0.0261, 0.0329, 0
328, 666, 0.0262, 0.0893556, 2
374, 908, 0.0263, 0.0915162, 0
257, 734, 0.0264, 1.17022, 2
83, 920, 0.0265, 0.322529, 0
264, 1086, 0.0266, 4.0984, 0
307, 1083, 0.0267, 1.01016, 0
142, 798, 0.0268, 0.179954, 0
252, 739, 0.0269, 3.27994, 2
25, 966, 0.027, 0.876862, 0
486, 805, 0.0271, 1.81712, 0
363, 787, 0.0272, 0.845843, 2
377, 680, 0.0273, 0.0336, 1
247, 629, 0.0274, 0.395005, 0
40, 669, 0.0275, 0.479611, 0
64, 1036, 0.0276, 0.0888863, 0
293, 909, 0.0277, 0.382758, 3
186, 1067, 0.0278, 0.803562, 1
344, 813, 0.0279, 2.22298, 0
361, 775, 0.028, 0.0344, 1
349, 691, 0.0281, 3.22373, 0
242, 695, 0.0282, 0.159768, 0
170, 946, 0.0283, 1.30488, 0
47, 936, 0.0284, 0.356323, 0
4, 1014, 0.0285, 0.121404, 1
251, 679, 0.0286, 0.0701761, 0
240, 667, 0.0287, 0.250896, 2
343, 645, 0.0288, 0.183564, 0
409, 829, 0.0289, 2.28484, 0
155, 614, 0.029, 0.370995, 1
338, 1033, 0.0291, 0.916501, 0
259, 662, 0.0292, 0.0386103, 1
255, 620, 0.0293, 0.906009, 0
367, 992, 0.0294, 0.239174, 0
208, 786, 0.0295, 0.0375511, 0
388, 1055, 0.0296, 0.521844, 1
424, 1026, 0.0297, 5.47074, 1
485, 803, 0.0298, 0.410338, 0
185, 721, 0.0299, 0.0346, 1
422, 733, 0.03, 0.845658, 0
235, 744, 0.0301, 0.0507101, 0
231, 1047, 0.0302, 0.162361, 0
98, 932, 0.0303, 0.478049, 0
29, 887, 0.0305, 0.0658965, 0
12, 611, 0.0306, 0.274972, 1
79, 758, 0.0307, Inf, 0
322, 983, 0.0308, 0.0469202, 2
431, 970, 0.0309, 0.87232, 0
498, 707, 0.031, 0.0418308, 1
75, 876, 0.0311, 0.0707638, 0
332, 969, 0.0312, 0.16984, 0
228, 959, 0.0313, 0.035324, 1
314, 1061, 0.0314, 0.276477, 0
18, 836, 0.0315, 0.187008, 0
375, 1006, 0.0316, 0.137643, 2
284, 725, 0.0317, 1.69635, 0
130, 644, 0.0318, 0.28587, 1
84, 1098, 0.0319, 0.413951, 0
23, 1096, 0.032, 0.0444727, 0
329, 889, 0.0321, 0.468166, 0
467, 1075, 0.0322, 0.534307, 0
372, 1018, 0.0323, Inf, 0
133, 794, 0.0324, Inf, 0
8, 1092, 0.0325, 0.194124, 0
116, 957, 0.0326, 0.931262, 0
423, 1038, 0.0327, 0.21523, 0
407, 690, 0.0328, 1.69627, 0
233, 766, 0.033, 0.131858, 1
399, 945, 0.0331, 0.0359061, 0
466, 1099, 0.0332, 0.310788, 0
305, 610, 0.0333, 0.739324, 0
321, 874, 0.0334, 0.0399253, 1
137, 643, 0.0335, 1.03239, 0
446, 713, 0.0337, 0.748661, 0
19, 797, 0.0338, 0.0502767, 0
32, 1011, 0.0339, 0.0657985, 0
489, 996, 0.034, 0.113556, 0
493, 907, 0.0341, 2.17255, 0
400, 1009, 0.0342, 0.126193, 0
411, 668, 0.0343, 0.0553852, 0
90, 677, 0.0345, 0.0404396, 1
162, 924, 0.0347, 0.218218, 1
115, 887, 0.0367568, 0.301747, 0
102, 980, 0.0372189, 3.28488, 0
160, 644, 0.0377904, 0.0425385, 0
58, 669, 0.0382539, 0.147205, 0
361, 837, 0.0389867, 0.628787, 0
421, 766, 0.039678, 0.161421, 3
406, 1093, 0.0402954, 0.0811651, 0
298, 688, 0.0409858, 0.136277, 2
403, 916, 0.0417447, 0.515723, 3
456, 896, 0.0427033, Inf, 0
70, 760, 0.0437912, 0.631766, 0
312, 650, 0.0443792, 0.371065, 0
221, 889, 0.0461841, 0.0559733, 0
431, 832, 0.0464321, 0.0704442, 0
328, 690, 0.0478652, 0.0685595, 0
180, 834, 0.0484417, 0.254946, 0
136, 778, 0.0486348, 0.326471, 1
204, 721, 0.0489822, 0.0519302, 1
189, 1024, 0.0504992, 1.5919, 0
68, 921, 0.0509981, 0.411254, 0
