male.id, female.id, start.time, end.time, proximity
474, 618, 0.0269, 7.40396, 0
286, 795, 0.027, 0.116612, 2
324, 885, 0.0271, 0.0887002, 0
240, 1085, 0.0272, 1.44409, 0
134, 1052, 0.0273, 0.366322, 0
182, 985, 0.0274, 6.34833, 0
143, 682, 0.0275, 0.27694, 2
335, 1054, 0.0276, 0.112051, 0
38, 932, 0.0277, 0.033075, 1
340, 881, 0.0278, 6.62341, 0
422, 1100, 0.0279, 7.39876, 0
268, 705, 0.028, 0.913619, 1
479, 680, 0.0281, 1.2726, 2
25, 630, 0.0282, 4.14379, 0
287, 788, 0.0283, 0.336219, 3
373, 1040, 0.0284, 8.95662, 0
3, 877, 0.0285, 0.829459, 2
409, 1018, 0.0286, Inf, 0
331, 947, 0.0287, 0.74617, 1
169, 989, 0.0288, 1.26492, 0
159, 950, 0.0289, 0.261213, 1
110, 765, 0.029, 1.5294, 0
99, 944, 0.0291, 1.30887, 0
241, 606, 0.0292, 8.26937, 2
168, 740, 0.0293, 2.02729, 0
250, 920, 0.0294, 0.987322, 1
14, 828, 0.0295, 3.84317, 0
121, 719, 0.0296, 0.800897, 0
173, 962, 0.0297, 3.59957, 0
313, 915, 0.0298, 0.0968862, 0
44, 1087, 0.0299, 0.40852, 0
487, 760, 0.03, Inf, 0
266, 1020, 0.0301, 10.4002, 0
238, 1032, 0.0302, 2.05041, 0
66, 668, 0.0309417, 0.110309, 0
172, 681, 0.0311113, 2.39104, 0
51, 1028, 0.0318774, 1.82861, 2
278, 1003, 0.031932, 0.925606, 0
142, 636, 0.0339469, 0.540549, 2
148, 707, 0.0342184, 0.834954, 0
4, 816, 0.0344341, 0.108505, 1
366, 1066, 0.0371898, 3.20577, 0
10, 892, 0.0399335, 0.275137, 1
57, 782, 0.0449757, Inf, 0
74, 761, 0.0461719, 11.2968, 0
472, 879, 0.0461767, 0.393559, 3
382, 778, 0.0461916, 0.248778, 0
475, 983, 0.0475676, 0.060307, 1
288, 1079, 0.0501252, 0.416773, 2
497, 696, 0.0505441, 0.191067, 0
427, 824, 0.0522689, 4.66768, 0
383, 672, 0.0538277, 0.792103, 0
327, 722, 0.0579127, 3.80603, 0
447, 899, 0.058157, 0.0851137, 1
375, 709, 0.0596614, 0.35165, 2
467, 1037, 0.0599118, 1.64397, 0
451, 858, 0.0600567, 7.36669, 0
139, 815, 0.0600656, Inf, 0
166, 901, 0.0615614, 0.595688, 0
441, 869, 0.0621722, 0.177111, 2
360, 636, 0.0654442, 0.396933, 1
18, 622, 0.0654826, 0.274846, 0
219, 912, 0.0659574, 0.502888, 0
215, 849, 0.0678384, 6.05971, 0
220, 736, 0.0683886, 0.304272, 1
338, 710, 0.0694533, 2.70716, 0
10, 807, 0.0709916, 0.287193, 2
479, 880, 0.0714961, 1.1039, 2
19, 808, 0.0740988, 3.37473, 0
420, 926, 0.0741162, 1.11743, 0
355, 888, 0.074663, 0.134074, 2
120, 781, 0.0749632, 1.04882, 0
195, 757, 0.0752833, 0.210453, 1
296, 932, 0.0765302, 0.161769, 0
368, 647, 0.0772684, 4.3632, 0
69, 625, 0.0788334, 0.547279, 2
310, 649, 0.0790124, 0.405812, 0
36, 886, 0.0795684, 2.01779, 0
470, 1030, 0.0799761, 0.178863, 0
148, 1040, 0.0800787, 0.209933, 0
318, 660, 0.0801852, 1.48878, 2
334, 776, 0.0825926, 0.453101, 0
450, 1011, 0.0834268, Inf, 0
299, 757, 0.0837436, 0.201311, 0
434, 718, 0.0846978, 0.908355, 0
236, 758, 0.0851675, 0.272383, 2
244, 672, 0.0854638, 0.136044, 2
227, 948, 0.0861001, 6.56415, 0
346, 984, 0.086835, 2.63049, 0
178, 1062, 0.0875322, 1.70728, 2
406, 697, 0.0893053, 0.247443, 3
133, 990, 0.0893122, 8.9718, 0
493, 1024, 0.0895968, 1.94857, 0
298, 862, 0.0908215, 0.1012, 1
126, 1076, 0.0920211, 5.00301, 3
56, 1005, 0.0922868, 2.39394, 0
362, 703, 0.0924788, 1.09164, 1
43, 635, 0.0928384, 1.57727, 0
428, 1099, 0.0932609, 1.79902, 1
393, 991, 0.0936909, 0.27961, 3
247, 891, 0.0938905, 1.14155, 0
443, 747, 0.0942838, 6.03406, 0
405, 744, 0.0945563, 0.581493, 0
406, 1093, 0.0961683, 0.938144, 3
421, 885, 0.0963134, Inf, 0
6, 693, 0.0966347, 0.623383, 0
126, 625, 0.0977062, 0.124831, 2
367, 653, 0.102309, 0.713873, 0
428, 1054, 0.103707, 0.399243, 2
160, 674, 0.104686, 2.21989, 0
188, 986, 0.106818, 1.05583, 0
88, 833, 0.108297, 3.42355, 0
415, 812, 0.108392, 0.162713, 2
106, 959, 0.111225, 0.841791, 0
263, 663, 0.112022, 1.02167, 2
221, 800, 0.117618, 0.558233, 1
445, 865, 0.117851, 3.88643, 1
29, 1035, 0.118906, 0.239316, 1
67, 1027, 0.121054, 2.56278, 1
332, 795, 0.121105, 1.32996, 0
335, 932, 0.122258, 0.182409, 0
269, 868, 0.127715, 0.160464, 1
83, 873, 0.12839, 5.12545, 0
78, 665, 0.129629, 0.894831, 0
99, 949, 0.129723, 1.12156, 0
82, 640, 0.130284, 10.0244, 1
438, 642, 0.131056, 0.537247, 0
196, 924, 0.131117, 0.215589, 3
119, 884, 0.131581, 0.355954, 1
195, 657, 0.132378, 0.749861, 1
386, 734, 0.133251, 0.232305, 2
447, 983, 0.133997, 0.16469, 3
91, 862, 0.135487, 0.19496, 1
9, 739, 0.136946, 0.828257, 3
487, 935, 0.137876, 0.344973, 0
338, 954, 0.139271, 1.05592, 1
350, 915, 0.141464, 0.432948, 0
