male.id, female.id, start.time, end.time, proximity
474, 618, 0.0269, 7.40396, 0
286, 795, 0.027, 0.116612, 2
324, 885, 0.0271, 0.0887002, 0
240, 1085, 0.0272, 1.44409, 0
134, 1052, 0.0273, 0.366322, 0
182, 985, 0.0274, 2.56828, 0
143, 682, 0.0275, 0.27694, 2
335, 1054, 0.0276, 0.112051, 0
38, 932, 0.0277, 0.033075, 1
340, 881, 0.0278, 6.62341, 0
422, 1100, 0.0279, 7.39876, 0
268, 705, 0.028, 0.913619, 1
479, 680, 0.0281, 1.2726, 2
25, 630, 0.0282, 4.14379, 0
287, 788, 0.0283, 0.336219, 3
373, 1040, 0.0284, 8.95662, 0
3, 877, 0.0285, 0.829459, 2
409, 1018, 0.0286, 12.4487, 0
331, 947, 0.0287, 0.74617, 1
169, 989, 0.0288, 1.26492, 0
159, 950, 0.0289, 0.261213, 1
110, 765, 0.029, 1.5294, 0
99, 944, 0.0291, 1.30887, 0
241, 606, 0.0292, 8.26937, 2
168, 740, 0.0293, 2.02729, 0
250, 920, 0.0294, 0.987322, 1
14, 828, 0.0295, 3.84317, 0
121, 719, 0.0296, 0.800897, 0
173, 962, 0.0297, 3.59957, 0
313, 915, 0.0298, 0.0968862, 0
44, 1087, 0.0299, 0.40852, 0
487, 760, 0.03, Inf, 0
266, 1020, 0.0301, 7.78627, 0
238, 1032, 0.0302, 2.05041, 0
148, 1040, 0.0309341, 0.0765553, 0
66, 668, 0.0309417, 2.7122, 0
172, 681, 0.0311113, 2.39104, 0
51, 1028, 0.0318774, 1.07228, 2
278, 1003, 0.031932, 0.689269, 0
142, 636, 0.0339469, 0.396525, 2
148, 707, 0.0342249, 0.0956478, 0
4, 816, 0.0344341, 4.72293, 1
479, 880, 0.0359523, 0.12395, 2
14, 740, 0.0364564, 3.11733, 0
366, 1066, 0.0371898, 3.75193, 0
278, 682, 0.0379296, 0.0874815, 1
335, 932, 0.038896, 0.103223, 0
360, 636, 0.0396381, 0.48315, 1
428, 1054, 0.0398535, 0.234833, 2
10, 892, 0.0399335, 0.564094, 1
331, 1085, 0.0414691, 0.161057, 1
57, 782, 0.0449757, 0.609711, 0
373, 1037, 0.0451645, 7.61364, 0
10, 807, 0.0455449, 0.0484963, 2
409, 649, 0.0459961, 0.17156, 0
74, 761, 0.0461719, 2.24174, 0
472, 879, 0.0461767, 0.995636, 3
382, 778, 0.0461916, 0.727456, 0
421, 885, 0.0467609, 0.0651913, 0
99, 949, 0.0474336, 1.13697, 0
475, 983, 0.0475676, 0.0601631, 1
340, 1076, 0.0479699, 9.24297, 0
332, 795, 0.0483411, 0.315527, 0
487, 935, 0.0496724, 0.687706, 0
288, 1079, 0.0501252, 0.272032, 2
497, 696, 0.0505441, 2.68823, 0
69, 740, 0.0506393, 0.0708087, 1
427, 824, 0.0522689, 3.1091, 0
287, 737, 0.0536122, 0.700562, 0
383, 672, 0.0538277, 0.850122, 0
287, 1028, 0.0563413, 0.0829948, 2
327, 722, 0.0579127, 0.134939, 0
447, 899, 0.058157, 0.404571, 1
244, 672, 0.059544, 0.259904, 2
375, 709, 0.0596614, 0.985534, 2
451, 858, 0.0600567, 4.54718, 0
139, 815, 0.0600656, 2.41228, 0
144, 1020, 0.0601029, 0.610784, 1
166, 901, 0.0615614, 0.446859, 0
340, 1058, 0.0615924, 0.110706, 0
467, 1037, 0.061594, 0.440541, 0
441, 869, 0.0621722, 0.633316, 2
19, 915, 0.0638735, 0.552689, 0
311, 740, 0.0650261, 0.282587, 0
18, 622, 0.0654826, 0.101025, 0
219, 912, 0.0659574, 0.502888, 0
331, 741, 0.0667889, 0.0690599, 1
215, 849, 0.0678384, 0.891321, 0
220, 736, 0.0683886, 0.429616, 1
338, 710, 0.0694533, 2.34395, 0
441, 782, 0.0710702, 0.143688, 0
402, 606, 0.0711755, 0.0943801, 3
441, 816, 0.0720313, 0.592004, 2
445, 881, 0.072477, 8.26136, 1
420, 926, 0.0741162, 1.26525, 0
19, 808, 0.0741409, 2.82983, 0
355, 888, 0.074663, 0.844043, 2
120, 781, 0.0749632, 0.287282, 0
195, 757, 0.0752833, 0.277823, 1
250, 605, 0.0757804, 0.100635, 3
296, 932, 0.0763739, 0.185546, 0
299, 757, 0.0768077, 0.38664, 0
368, 647, 0.0772684, 4.3632, 0
69, 625, 0.0790442, 0.139191, 2
324, 722, 0.0793442, 0.462721, 0
36, 886, 0.0795684, 1.99709, 0
470, 1030, 0.0799761, 0.180954, 0
51, 888, 0.0800359, 0.122013, 3
318, 660, 0.0801852, 0.865053, 2
126, 625, 0.0813674, 0.599265, 2
338, 954, 0.0821269, 0.149556, 1
334, 776, 0.0825926, 0.453101, 0
310, 649, 0.0827693, 0.806637, 0
331, 630, 0.0834121, 0.197049, 1
450, 1011, 0.0834268, 7.55193, 0
434, 718, 0.0846978, 12.7518, 0
236, 758, 0.0851675, 0.31967, 2
168, 1054, 0.0856092, 0.140505, 0
195, 657, 0.0856313, 0.694569, 1
227, 948, 0.0861001, 6.56415, 0
406, 778, 0.0862936, 0.16355, 0
438, 761, 0.0864, 1.74066, 0
346, 984, 0.086835, 0.482312, 0
178, 1062, 0.0875322, 1.65804, 2
311, 1085, 0.0883345, 0.251873, 0
481, 705, 0.0887424, 0.466249, 1
488, 901, 0.0888333, 0.255586, 0
133, 990, 0.0893122, 5.55165, 0
406, 697, 0.0893221, 0.599681, 3
296, 833, 0.0894861, 8.23168, 0
493, 1024, 0.0895968, 3.81834, 0
331, 944, 0.0899792, 0.144279, 1
406, 1093, 0.0905868, 0.131236, 3
298, 862, 0.0908215, 0.233766, 1
486, 1018, 0.0908329, 0.234736, 0
